Status,"Kampagnen ID",Kampagne,Kategorie,Unterkategorien,URL,"Exklusiv bei TradeTracker","Tracking URL",CPM,Klick,Lead,iLead,"Sales (EUR)","iSales (EUR)","Sales (%)","iSales (%)","App install","App start",Segment,Registrierungsdatum,Änderungsdatum,"Deep Linking",CleanLinking,"Referenz Tracking",Produkt-Feed,Suchmaschinen-Marketing,"E-Mail Marketing",Cashback,"Gutschein-, Rabatt- und Angebotsseiten",Prepayment,Segmentierung,Cookie-Laufzeit,Startdatum,Enddatum,"Lead Attritbution Modell","Verglichen mit den letzten 30 Tagen","Sales Attribution Modell","Verglichen mit den letzten 30 Tagen"
"Nicht angemeldet",#7921,Balaton24,"Reisen und Urlaub","Reisen und Urlaub > Ferienwohnungen, Reisen und Urlaub > Sommerurlaub",https://www.balaton24.de/,nein,https://www.balaton24.de/reisen/?tt=7921_0_390329_,-,-,-,-,"17,00 €",-,-,-,-,-,-,,,ja,nein,ja,nein,Eingeschränkt,Eingeschränkt,Eingeschränkt,Eingeschränkt,nein,manuell,"60 Tage",04.06.12,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#17008,Banggood.com,Warenhäuser,"Elektronik > Küche, Elektronik > Zubehör, Wohnen, Haus und Garten > Sicherheitsprodukte, Baby und Kinder > Babyprodukte, Elektronik > Gesundheitsvorsorge, Mode und Accessoires > Damen, Wohnen, Haus und Garten > Bett- und Tischwäsche, Elektronik > Multimedia, Wohnen, Haus und Garten > Bad- und Sanitäreinrichtungen, Mode und Accessoires > Sonnenbrillen, Sonstiges > Auktionen und Deals, Mode und Accessoires > Handtaschen und Portemonnaies, Essen und Trinken > Ernährung und Nahrungsergänzungsmittel, Büro > Büromöbel, Büro > Büromaterial, Kunst und Lifestyle > Kunst, Mode und Accessoires > Schmuck und Uhren, Wohnen, Haus und Garten > Terrasse, Sport und Freizeit > Fitness, Kunst und Lifestyle > Fotoprodukte, Mode und Accessoires > Accessoires, Geschenke und Gadgets > Gadgets, Wohnen, Haus und Garten > Garten, Wohnen, Haus und Garten > Betten und Bettzeug, Sport und Freizeit > Kleidung und Schuhe, Sport und Freizeit > Nahrungsergänzungsmittel, Gesundheit und Schönheit > Vitamine, Mode und Accessoires > Schuhe und Stiefel, Autos, Motorräder und Zubehör > Werkzeuge, Elektronik > Audio und Video, Elektronik > Fotos und Video, Tiere > Aquarien und Teiche, Elektronik > Computer, Hobby und Freizeit > Musikinstrumente, Elektronik > Telefone, Gesundheit und Schönheit > Nahrungsergänzungsmittel, Elektronik > Sat-Anlage, Spaß und Spiele > Games und Spielekonsolen, Mode und Accessoires > Outlet, Mode und Accessoires > Übergrößen, Spaß und Spiele > Freizeitspiele, Wohnen, Haus und Garten > Küche, Elektronik > Haushaltswaren, Geschenke und Gadgets > Geschenke, Hobby und Freizeit > Modellbau, Gesundheit und Schönheit > Kosmetik & Hautpflege, Gesundheit und Schönheit > Diät, Sport und Freizeit > Outdoor, Baby und Kinder > Kinderspielzeug, Kunst und Lifestyle > Fotoalben, Gesundheit und Schönheit > Brillen, Sport und Freizeit > Radfahren, Baby und Kinder > Babykleidung, Sport und Freizeit > Lauf- und Cross-Training, Wohnen, Haus und Garten > Haustechnik, Mode und Accessoires > Senioren, Wohnen, Haus und Garten > Lampen und Licht, Mode und Accessoires > Jugend, Wohnen, Haus und Garten > Wohnungseinrichtung, Kunst und Lifestyle > Lifestyle, Mode und Accessoires > Sportkleidung, Mode und Accessoires > Dessous, Sport und Freizeit > Golf, Sport und Freizeit > Fußball, Wohnen, Haus und Garten > Boden und Pflaster, Sport und Freizeit > Sportausstattung, Geschenke und Gadgets > Saisonal, Tiere > Katzen und Hunde, Tiere > Pferde, Wohnen, Haus und Garten > Haus & Garten, Telekommunikation > Zubehör, Mode und Accessoires > Nachtwäsche, Telekommunikation > Geschäftskunden, Mode und Accessoires > Kinderkleidung, Geschenke und Gadgets > Glückwunschkarten, Telekommunikation > Mobiltelefone, Telekommunikation > TV und Internet, Hard- und Software > Hardware, Kunst und Lifestyle > Poster und Bilder, Mode und Accessoires > Herren, Hard- und Software > Software, Telekommunikation > Klingeltöne und Zubehör, Wohnen, Haus und Garten > Grillen, Mode und Accessoires > Badekleidung, Reisen und Urlaub > Winterurlaub, Hard- und Software > Drucker und Druckerpatronen, Gesundheit und Schönheit > Gesundheitsvorsorge, Autos, Motorräder und Zubehör > Fahrräder, Wohnen, Haus und Garten > Möbel und Interior, Autos, Motorräder und Zubehör > Soundsystem, Kunst und Lifestyle > Leinwände, Hobby und Freizeit > Outdoor, Autos, Motorräder und Zubehör > Navigationssystem, Sport und Freizeit > Hockey, Gesundheit und Schönheit > Parfüme und Aftershave, Autos, Motorräder und Zubehör > Zubehör und Teile, Hobby und Freizeit > Freizeitangeln",https://banggood.com,nein,https://www.banggood.com/bang/?tt=17008_0_390329_,-,-,-,-,-,-,"13,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",02.10.14,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#14628,"Bax-shop DE","Musik, Videos und DVD","Hobby und Freizeit > Musikinstrumente, Elektronik > Audio und Video",https://www.bax-shop.de,nein,https://www.bax-shop.de/musicstore/?tt=14628_0_390329_,-,-,-,-,-,-,"2,25 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Eingeschränkt,"Nicht gestattet",nein,automatisch,"14 Tage",24.02.14,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#23416,BDSMstore.de,Erotik,"Mode und Accessoires > Dessous, Erotik > Erotikprodukte",https://www.BDSMstore.de,nein,https://www.bdsmstore.de/erotiktt/?tt=23416_0_390329_,-,-,-,-,-,-,"10,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,"Nicht gestattet",Erlaubt,nein,automatisch,"100 Tage",13.03.17,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#24843,Beleuchtungdirekt.de,"Wohnen, Haus und Garten","Wohnen, Haus und Garten > Immobilie, Wohnen, Haus und Garten > Lampen und Licht, Wohnen, Haus und Garten > Haus & Garten, Wohnen, Haus und Garten > Wohnungseinrichtung, Wohnen, Haus und Garten > Haustechnik, Elektronik > Zubehör, Wohnen, Haus und Garten > Garten, Wohnen, Haus und Garten > Terrasse, Wohnen, Haus und Garten > Sicherheitsprodukte, Wohnen, Haus und Garten > Küche",https://www.beleuchtungdirekt.de/,nein,https://www.beleuchtungdirekt.de/lightingurl/?tt=24843_0_390329_,-,-,-,-,-,-,"7,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet","Nicht gestattet",Erlaubt,Erlaubt,nein,automatisch,"30 Tage",24.08.18,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#5595,"Be Live Hotels","Reisen und Urlaub","Reisen und Urlaub > Städtereisen, Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Aktivreisen, Reisen und Urlaub > Hotels",https://www.belivehotels.com/hotel/DE/home.jsp,nein,https://tc.tradetracker.net/?c=5595&m=0&a=390329,-,-,-,-,-,-,"4,50 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",16.08.11,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#32874,"Belvilla DE","Reisen und Urlaub","Reisen und Urlaub > Ferienwohnungen, Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Ferienparks",https://www.belvilla.de/,nein,https://tc.tradetracker.net/?c=32874&m=0&a=390329,-,-,-,-,-,-,"4,50 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"7 Tage",24.09.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#29338,Berrylook.com,"Mode und Accessoires","Mode und Accessoires > Damen",https://www.berrylook.com/,nein,https://tc.tradetracker.net/?c=29338&m=0&a=390329,-,-,-,-,-,-,"15,60 %",-,-,-,-,,,ja,nein,ja,ja,Erlaubt,Erlaubt,Erlaubt,Erlaubt,nein,manuell,"100 Tage",19.11.18,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#21097,Bestlife.de,"Gesundheit und Schönheit","Essen und Trinken > Ernährung und Nahrungsergänzungsmittel, Gesundheit und Schönheit > Kosmetik & Hautpflege",https://www.bestlife-shop.de/,nein,https://www.bestlife-shop.de/merchandise/?tt=21097_0_390329_,-,-,-,-,-,-,"8,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"30 Tage",01.01.21,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#5193,Bet-at-home.com,"Lotterie und Glücksspiele","Lotterie und Glücksspiele > Kasino, Lotterie und Glücksspiele > Wetten, Lotterie und Glücksspiele > Online-Games",https://www.bet-at-home.com,nein,https://tc.tradetracker.net/?c=5193&m=0&a=390329,-,-,-,-,"60,00 €",-,-,-,-,-,-,,,ja,nein,ja,nein,"Nicht gestattet",Eingeschränkt,"Nicht gestattet",Erlaubt,ja,manuell,"30 Tage",26.07.11,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#30561,"Bifi Gewinnspiel","Gratis und Gewinnspiele",,https://www.promoba.de/?c=10175&d=14&k=mtb,nein,https://tc.tradetracker.net/?c=30561&m=0&a=390329,-,-,"2,00 €",-,-,-,-,-,-,-,-,,,ja,nein,ja,nein,Eingeschränkt,Eingeschränkt,"Nicht gestattet",Eingeschränkt,nein,manuell,"100 Tage",21.05.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#29945,Blackshark.com,"Spaß und Spiele",,https://eu.blackshark.com/,nein,https://tc.tradetracker.net/?c=29945&m=0&a=390329,-,-,-,-,-,-,"2,50 %",-,-,-,-,,,ja,nein,ja,nein,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"45 Tage",08.03.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#32666,Blisso,"Gesundheit und Schönheit",,https://www.blisso.de/,ja,https://tc.tradetracker.net/?c=32666&m=0&a=390329,-,-,-,-,-,-,"7,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"100 Tage",25.05.20,,Benutzerdefiniert,-,Linear,-
"Nicht angemeldet",#15430,Blitec.de,Büro,"Büro > Büromaterial",https://www.blitec.de,nein,https://www.blitec.de/buerobedarf/?tt=15430_0_390329_,-,-,-,-,-,-,"4,20 %","6,00 %",-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"90 Tage",06.05.14,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#4937,Blumenzwiebelnversand.de,Blumen,"Blumen > Blumen und Bouquet, Blumen > Pflanzen, Geschenke und Gadgets > Saisonal, Geschenke und Gadgets > Geschenke, Wohnen, Haus und Garten > Terrasse, Wohnen, Haus und Garten > Garten",https://www.blumenzwiebelnversand.de/,ja,https://www.blumenzwiebelnversand.de/bol/?tt=4937_0_390329_,-,-,-,-,-,-,"7,00 %","7,00 %",-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,"Nicht gestattet",nein,manuell,"30 Tage",15.04.11,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#31448,Bodeboca,"Essen und Trinken","Essen und Trinken > Alkohol, Essen und Trinken > Champagner und Weine",https://www.bodeboca.de,nein,https://tc.tradetracker.net/?c=31448&m=0&a=390329,-,-,"0,70 €",-,-,-,"10,50 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",16.10.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#12425,Bookingmonkey.com,"Reisen und Urlaub","Reisen und Urlaub > Ferienparks, Reisen und Urlaub > Fernreisen, Reisen und Urlaub > Abenteuerreisen, Reisen und Urlaub > Ferienwohnungen, Reisen und Urlaub > Hotels, Reisen und Urlaub > Autovermietung, Reisen und Urlaub > Autoreisen, Reisen und Urlaub > Aktivreisen, Reisen und Urlaub > Camping-Reisen",https://www.Bookingmonkey.com,nein,https://www.bookingmonkey.com/rental/?tt=12425_0_390329_,-,-,-,-,-,-,"6,00 %",-,-,-,-,,,ja,nein,ja,nein,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",09.09.13,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#14493,Brekz.de,Tiere,"Tiere > Pferde, Tiere > Katzen und Hunde, Tiere > Aquarien und Teiche",https://www.brekz.de/,nein,https://www.brekz.de/tierfutter/?tt=14493_0_390329_,-,-,-,-,-,-,"5,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"30 Tage",17.03.14,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#33593,"Brennstoffe Günstiger","Wohnen, Haus und Garten","Wohnen, Haus und Garten > Haus & Garten",https://brennstoffe-guenstiger.de,ja,https://www.brennstoffe-guenstiger.de/holz/tt=33593_0_390329_,-,-,-,-,-,-,"4,20 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Erlaubt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",01.02.21,,Klassisch,-,Klassisch,-
